matrix
73;86;60;11;35;71;39;5;16;71;43;30;62;22;61;8;6;5;87;97;98;76;65;52;41;82;12;1;58;7;94;48;100;95;59;21;60;37;40;91;95;14;54;34;54;59;5;3;31;44;78;57;46;58;93;99;47;43;27;39;86;49;95;97;64;93;15;36;16;93;6;28;51;43;12;97;23;68;69;83;70;47;77;22;37;26;80;80;30;59;65;81;7;39;60;94;60;28;69;57
68;11;23;24;82;88;56;96;70;72;29;79;83;80;14;5;31;92;52;72;41;27;30;94;69;97;25;92;89;84;99;4;71;75;57;94;35;44;64;94;18;85;13;96;83;6;51;37;16;49;22;94;16;5;34;43;13;23;10;50;33;73;53;24;13;53;65;94;27;71;78;16;59;30;37;82;88;56;90;47;45;71;90;75;96;86;57;44;73;1;59;69;51;12;85;53;6;62;90;58
28;92;15;41;9;15;36;20;65;28;97;15;25;15;8;83;72;98;14;40;52;95;31;20;47;43;13;21;95;64;62;55;81;1;59;10;81;32;64;75;55;17;80;80;32;89;15;25;77;62;27;32;3;53;43;20;6;79;99;78;15;76;95;64;43;21;30;14;78;85;95;78;80;15;17;75;67;50;68;81;89;36;82;7;84;7;95;57;51;65;33;32;30;95;59;2;13;40;87;42
73;63;26;38;75;50;50;51;89;64;15;44;98;42;39;50;74;69;75;90;90;7;47;84;69;31;8;100;39;14;56;70;56;68;100;6;49;46;65;20;26;57;20;78;72;34;96;64;85;100;91;91;40;83;43;57;19;14;50;88;9;63;35;29;89;53;23;3;24;95;12;20;95;59;67;50;25;98;84;78;22;42;2;69;28;32;24;32;28;18;47;75;60;8;25;80;24;87;13;28
3;21;48;41;75;92;96;73;79;53;2;11;84;24;89;76;26;25;97;81;9;73;14;76;71;63;93;2;71;20;75;50;95;45;28;67;42;55;94;35;5;83;59;8;31;19;20;36;87;36;3;31;33;50;50;79;35;49;49;68;76;86;73;49;26;89;50;39;1;64;42;91;84;39;27;69;88;85;47;79;73;36;58;35;100;9;44;82;18;15;67;73;75;31;83;76;63;38;76;88
79;82;36;9;39;3;18;53;38;96;10;48;59;93;10;4;6;86;36;86;6;75;28;6;30;21;41;24;18;13;43;72;72;59;92;30;74;90;48;41;25;71;68;21;94;43;78;71;76;36;85;6;55;78;48;11;3;2;98;60;52;32;87;32;32;22;50;70;5;80;64;4;58;49;3;50;44;86;52;96;25;33;41;56;35;69;11;87;50;68;59;25;32;45;16;6;76;51;97;48
93;53;23;43;72;84;9;65;84;90;90;90;2;29;34;96;64;95;41;94;81;98;52;34;6;67;6;58;47;6;10;61;5;54;13;42;95;43;43;67;35;87;21;61;14;90;85;27;2;31;61;82;46;52;21;76;67;81;72;68;18;96;85;12;62;57;98;80;19;78;41;98;91;74;76;6;29;1;66;53;51;91;100;88;80;70;98;79;18;33;95;47;88;47;74;78;87;75;38;57
65;89;62;42;66;81;25;45;11;62;5;57;97;14;59;79;52;12;2;14;39;38;63;59;17;100;9;11;88;48;32;2;80;24;52;23;12;37;38;89;53;21;46;92;67;8;35;9;89;18;71;90;26;72;100;61;29;43;81;34;13;85;85;95;73;15;73;36;59;71;57;39;42;79;20;21;34;49;3;54;47;76;95;94;16;79;98;1;9;85;32;79;27;24;37;79;79;42;46;21
89;41;92;87;26;10;48;45;81;73;34;19;46;90;19;83;92;71;84;14;36;76;24;20;1;71;28;51;66;1;7;23;22;9;24;83;50;16;34;76;72;88;7;96;63;49;74;88;83;56;59;97;50;90;38;70;87;64;6;30;26;5;47;62;56;97;36;34;49;35;2;29;79;62;3;68;41;87;78;86;92;74;91;33;52;9;41;52;82;5;51;33;16;44;44;65;5;31;50;70
23;33;32;96;23;31;70;44;80;57;1;20;39;65;20;35;41;71;23;56;24;65;82;92;83;64;60;65;25;66;56;80;1;49;87;74;31;31;64;87;13;92;100;47;16;1;86;34;41;91;58;54;36;76;20;70;71;87;12;69;82;58;79;43;38;74;53;71;47;31;40;22;63;42;51;27;100;55;68;87;37;68;39;55;79;5;25;15;57;23;72;94;90;26;83;60;50;18;64;66
56;93;24;92;50;5;18;31;42;29;80;10;79;52;14;74;63;86;57;5;4;26;27;63;40;24;68;58;50;100;13;44;89;19;14;2;91;27;85;32;2;93;40;74;42;38;83;5;75;82;47;69;8;70;23;37;1;71;69;22;13;28;43;69;22;71;7;80;61;74;51;49;25;13;69;75;63;6;34;41;12;25;29;66;62;74;18;56;52;51;92;59;3;54;84;72;76;15;39;9
96;89;41;7;62;91;91;67;8;84;38;24;85;12;41;74;81;41;33;95;85;80;79;34;52;82;86;97;82;9;17;97;97;100;31;1;77;93;65;91;4;84;24;98;14;33;56;97;81;25;100;75;36;75;43;71;53;28;86;93;52;51;15;14;90;51;17;40;47;17;57;86;40;30;36;51;99;53;50;96;34;25;75;51;54;14;64;81;89;96;72;52;7;32;11;45;66;66;79;100
23;62;65;74;98;67;42;74;17;96;39;91;13;93;34;28;66;46;61;1;8;35;88;69;46;11;22;41;6;21;52;36;73;20;26;3;24;17;94;71;23;55;2;57;45;93;72;41;40;16;56;94;19;75;62;49;81;82;64;4;24;4;26;9;37;23;80;14;58;53;64;47;85;52;28;26;27;5;2;75;29;2;7;9;93;65;9;3;1;32;24;30;91;23;7;86;40;31;34;39
99;32;75;54;48;12;73;24;42;29;60;50;56;81;7;57;27;2;66;52;72;85;28;4;44;98;24;76;13;36;6;29;43;56;76;79;35;24;29;96;6;10;66;93;29;30;20;3;15;96;53;55;77;29;70;38;41;33;24;26;1;98;6;65;82;15;63;55;14;7;92;17;63;74;96;76;97;88;81;39;11;45;46;13;37;84;79;95;44;81;41;29;59;73;55;46;32;7;88;49
66;16;25;13;86;98;41;8;55;30;60;76;99;55;41;66;54;3;23;35;5;76;29;80;87;53;9;1;10;54;22;42;78;1;34;4;6;79;50;73;43;30;63;54;21;56;49;97;7;4;6;8;2;35;61;84;65;58;92;77;24;55;90;17;90;49;53;67;51;87;23;62;46;91;67;34;51;87;39;27;56;4;100;16;45;59;65;53;18;13;31;51;40;57;37;35;47;76;59;38
78;48;12;76;91;53;52;36;24;72;67;19;38;88;48;23;38;94;53;38;77;100;59;87;60;94;57;96;7;29;96;40;38;68;93;51;54;16;34;72;33;50;37;10;64;34;63;50;43;74;25;100;58;40;77;40;7;45;70;39;9;58;79;22;7;69;21;34;19;16;32;4;1;75;45;11;30;28;29;72;90;42;32;38;18;86;23;54;38;74;78;80;66;10;58;55;62;22;46;13
51;21;36;95;48;54;71;7;5;44;62;95;30;62;83;93;60;21;1;35;32;25;39;41;72;66;87;72;70;46;98;17;25;31;4;91;18;3;46;58;4;32;86;72;48;9;2;80;64;92;25;40;1;26;95;15;98;32;23;92;27;11;30;46;26;78;97;64;56;26;59;27;87;66;60;89;87;13;1;88;23;49;73;24;49;53;76;41;60;57;26;60;57;100;14;75;20;94;83;12
61;8;14;22;95;60;77;86;51;81;12;13;40;7;30;93;45;31;31;29;19;81;59;12;49;13;9;89;49;7;93;20;98;79;71;25;75;53;5;58;9;5;86;90;31;77;48;47;16;34;95;95;46;49;24;71;82;66;25;44;69;14;1;35;25;88;9;89;55;89;76;62;87;57;97;31;88;5;83;7;83;19;26;100;26;63;55;90;65;91;28;71;11;9;81;22;64;36;62;77
43;72;62;74;12;93;67;22;52;34;63;89;32;91;98;40;53;68;25;8;69;1;3;6;19;54;10;44;63;65;12;91;88;42;70;65;97;86;41;84;2;76;15;96;9;72;72;90;1;33;10;22;26;58;86;98;13;71;4;47;64;41;32;39;53;39;78;59;92;86;82;20;35;71;5;57;22;64;64;95;54;97;22;87;28;39;36;99;29;90;11;71;5;6;82;74;47;31;100;10
68;66;44;68;90;96;3;23;69;53;42;10;42;95;76;16;32;40;63;100;44;98;18;49;54;22;37;20;85;22;85;55;97;43;61;8;15;53;46;3;52;41;93;96;7;65;58;12;21;70;29;70;82;50;50;1;69;63;63;8;99;12;20;61;40;83;58;97;42;51;9;32;58;10;59;88;32;6;90;69;3;19;19;84;9;4;67;6;8;55;78;11;29;6;31;49;92;4;79;27
